Clinic Name,Service Type,Address,Latitude,Longitude,Phone,Website
Affordable Dental Care,Dental,"2111 Fordem Ave Madison, WI 53704",43.100193,-89.363947,608-622-4002,http://www.affordablesmiles.org/
Albrecht Free Clinic,Medical & Dental,"909 W. Washington St. West Bend, WI 53095",43.42677522,-88.18783155,262-334-8339,http://www.albrechtfreeclinic.org/contact-us.html
Amri Counseling & Family Services,Behavioral Health,"4001 W Capitol Drive Milwaukee, WI 53216",43.0895751,-87.96324685,414-455-3879,http://amricounseling.com/
Amri Counseling & Family Services,Behavioral Health,"6321 23rd Ave Kenosha, WI 53143",42.576579,-87.836716,262-671-1625,http://amricounseling.com/
Amri Counseling & Family Services,Behavioral Health,3536 W Fond du Lac Ave Milwaukee WI 53216,43.0766559,-87.95815162,414-455-3879,http://amricounseling.com/
Anchor of Hope Health Center,Medical,"1018 S Taylor Dr, Sheboygan, WI 53081",43.709345,-87.7596939,(920) 452-4673,https://anchorofhopewi.org/
Ascension Angel of Hope Clinic Medical Clinic,Medical,"209 W. Orchard St., Milwaukee, WI 53204",43.01590035,-87.91300871,414-647-7466,https://healthcare.ascension.org/Seton-Dental-Clinic
Ascension Columbia St. Mary's,Medical,"2301 N Lake Dr, Milwaukee, WI 53211",43.060253,-87.880403,(414) 585-1000,https://healthcare.ascension.org/locations/wisconsin/wimil/milwaukee-ascension-columbia-st-marys-hospital-milwaukee?utm_campaign=gmb&utm_medium=organic&utm_source=local
Ascension Seton Dental Clinic,Dental,"3267 S. 16th St. Milwaukee, WI 53215",42.98501945,-87.93445266,414-383-3220,https://healthcare.ascension.org/Seton-Dental
Ascension St. Ben's Clinic,Medical & Dental,"1027 North 9th St Milwaukee, WI 53233",43.0436966,-87.92334083,414-765-0606,http://www.columbia-stmarys.org/St_Bens_Clinic
Aurora Walker's Point Community Clinic,Medical & Behavioral Health,"130 W Bruce St, Milwaukee, WI 53204",43.02541865,-87.91218965,414-225-4200,https://www.aurorahealthcare.org/locations/clinic/
Brady East STD Clinic (BESTD) - BESTD Clinic,Medical,"1240 E. Brady St., Milwaukee, WI 53202",43.0531383,-87.89553782,414-272-2144,http://www.bestd.org/
Bread of Healing - Cross Lutheran Church,Medical & Dental & Behavioral Health,"1821 North 16th Street Milwaukee, WI 53205",43.05430755,-87.93316253,414-977-0001,http://www.breadofhealingclinic.org/
Bread of Healing - Florist,Medical & Dental,"5975 North 40th Street Milwaukee, WI 53209",43.12625885,-87.96255349,414-216-3459,http://www.breadofhealingclinic.org/
Bread of Healing Inc - Eastbrook Church,Medical & Dental & Behavioral Health,"5385 North Green Bay Ave. Milwaukee, WI 53209",43.1145575,-87.9352288,414-228-5220 ext.107,http://www.breadofhealingclinic.org/
Brown County Oral Health Partnership (Howe),Dental,"526 S. Monroe Ave. Green Bay, WI 54301",44.50707994,-88.01423443,920-965-0831,https://www.smilegb.org/
Brown County Oral Health Partnership (Kroc),Dental,"1315 Lime Kiln Road Green Bay, WI 54302",44.47838197,-87.98181851,920-965-0832,https://www.smilegb.org/
Brown County Oral Health Partnership (Main),Dental,"1245 Main Street Green Bay, WI 54302",44.51156259,-87.99783902,920-965-0831,https://www.smilegb.org/
Brown County Oral Health Partnership (West),Dental,"2247 Fox Heights Ln. Green Bay, WI 54304",44.49539548,-88.06151688,920-965-0833,https://www.smilegb.org/
Brown County Oral Health Partnership (West),Dental,"204 Siegler St. Green Bay, WI 54303",44.53142062,-88.0677762,920- 965-0831,https://www.smilegb.org/
Care 4U Clinic,Medical & Behavioral Health,"W6440 Pine St, Dalton, WI 53926",43.70842879,-89.21652507,920-394-2136,https://www.care4uclinic.org/index.html
Chippewa Valley Free Clinic,Medical & Dental & Behavioral Health,"1030 Oak Ridge Dr, Eau Claire, WI 54701",44.7971471,-91.51598718,715-839-8477,http://cvfreeclinic.org/
